논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,비즈니스 모델 캔버스(BMC) 활용 여부,기타,오류
해당 항목 없음,"이 논문은 공공 기관의 AI 시스템 활용에 대한 관심이 높지만, 실행 가능한 비즈니스 모델을 구성하고 공공 가치를 평가할 도구가 부족하다는 문제의식에서 출발합니다. 디자인 과학적 접근 방식을 사용하여 공공 AI 캔버스(PAIC)를 설계하고 평가하여, 공공 기관의 비즈니스 모델 혁신을 위한 지침을 제공하고 AI 기반 가치를 창출하고 포착하는 데 도움을 줍니다. PAIC는 공공 가치 중심의 AI 지원 계층, 공공 가치 논리 계층, 공공 가치 중심의 사회적 지도 계층으로 구성됩니다.","논문에서 다루는 AI 시스템은 데이터 분석 및 예측을 통해 공공 서비스의 효율성과 효과성을 향상시키는 데 기여합니다. 주요 특징으로는 자동화, 개인화, 투명성, 설명 가능성, 윤리성, 책임성 등이 언급됩니다. 특히, AI 시스템의 불투명성을 극복하고 시민의 알 권리를 보장하는 것이 중요하다고 강조합니다.","이 논문에서 제안하는 PAIC의 주요 고객 세그먼트는 다음과 같습니다: 공공 기관, 시민, 공공 기관 직원, 기업, 대학, 기술 회사, 비영리 단체. 이들은 AI 시스템의 개발, 배포, 사용 및 영향을 받는 주요 이해관계자 그룹입니다.","PAIC는 공공 기관이 AI 시스템을 통해 공공 가치를 창출하고 극대화할 수 있도록 지원합니다. 구체적인 가치 제안으로는 효율성 증대, 개인화된 서비스 제공, 투명성 및 설명 가능성 향상, 윤리적이고 책임감 있는 AI 시스템 설계 및 운영 등이 있습니다. 또한 사회적 이익과 비용을 고려하여 AI 시스템의 지속 가능성을 확보하는 데 기여합니다.","PAIC는 특정 플랫폼이나 API를 직접적으로 언급하지는 않지만, 공공 기관이 AI 시스템과 관련된 정보를 시민에게 제공하고 피드백을 수집하는 채널의 중요성을 강조합니다. 예를 들어, 시민 피드백 루프, 공공-공공 파트너십, 공공-민간 파트너십, 공공-학계 파트너십, 부문 간 협력 등이 채널로 활용될 수 있습니다.","PAIC는 AI 시스템과 사용자 간의 상호작용 방식을 고려하여, 시민 피드백 루프를 통해 지속적인 개선을 추구하고 개인화된 서비스를 제공하는 것을 강조합니다. 이를 통해 시민과의 신뢰를 구축하고 긍정적인 관계를 유지하는 데 기여할 수 있습니다.","논문에서는 공공 기관의 수익 흐름이 중앙 정부 예산, 공공 서비스 수수료, 세금, 벌금 등에서 발생한다고 언급합니다. AI 시스템 개발 및 운영에 필요한 재정적 비용과 이익을 분석하여 경제적 실행 가능성을 평가하는 것이 중요하다고 강조합니다.","PAIC는 AI 시스템 구현 및 운영에 필요한 핵심 자원으로 데이터, 컴퓨팅 시스템, AI 팀, 행정 팀 등을 꼽습니다. 특히, 데이터의 접근성, 품질, 보안이 중요하며, 숙련된 AI 전문가 확보가 필수적이라고 강조합니다.","PAIC는 AI 시스템 설계 및 배포, AI 실험, 연구 개발, 시민 참여, AI 거버넌스 등을 핵심 활동으로 제시합니다. 이러한 활동을 통해 공공 가치를 창출하고 AI 시스템의 효과적인 운영을 보장할 수 있습니다.","PAIC는 기술 기업, 연구 기관, 정부 부처, NGO 등 다양한 파트너와의 협력을 강조합니다. 이러한 파트너십을 통해 기술 개발, 구현, 적용에 필요한 자원과 전문성을 확보할 수 있습니다.","PAIC는 데이터 준비 비용, AI 시스템 개발 비용, AI 기술 구축 비용, AI 시스템 유지보수 비용, AI 실험 및 연구 개발 비용 등을 주요 비용 항목으로 제시합니다. 또한, 일자리 감소, 디지털 격차, 오작동, 개인 정보 침해, 공공 신뢰 부족, 차별적 결과 등 잠재적인 사회적 비용 문제도 고려해야 합니다.","논문에서는 공공 기관의 AI 시스템 도입에 따른 사회적 영향(Social Guidance)을 별도의 계층으로 강조합니다. 이는 AI 기술이 가져올 수 있는 잠재적인 사회적 비용(예: 일자리 감소, 프라이버시 침해)과 사회적 가치(예: 경제 발전, 시민 삶의 질 향상) 간의 균형을 고려해야 함을 나타냅니다. 사회적 영향을 고려함으로써 AI 시스템이 사회 전체에 긍정적인 영향을 미치도록 유도합니다.",Y,Y. 기존 BMC를 공공 부문 및 AI 기술의 특성을 반영하여 재구성하고 확장했습니다.,"논문은 AI 시스템 배포에 대한 실질적인 적용 및 측정을 위한 지표 개발의 필요성을 언급하며, PAIC가 AI 시스템 배포와 관련된 잠재적인 위험과 이점을 고려하는 데 도움이 될 수 있음을 강조합니다.",해당 항목 없음
해당 항목 없음,"본 논문은 통합 수요 대응형 승객 및 화물 운송(IDRT) 시스템의 효율성을 개선하기 위한 재균형 전략을 제안하고, 에이전트 기반 시뮬레이션 모델을 통해 그 효과를 측정한다. 제안된 재균형 전략은 차량의 총 운행 거리와 승객 대기 시간을 줄임으로써 기존의 정적 IDRT 시스템보다 성능을 향상시킬 수 있음을 보여준다. 특히, 재균형 전략은 농촌 지역에서 IDRT 시스템의 효율적인 운영을 지원하고, 차량 자원 관리를 최적화하는 데 기여한다.","본 논문에서는 머신러닝 모델(ML-model)을 활용하여 특정 모빌리티 클러스터에서 다른 클러스터로의 총 이동 횟수를 예측한다. 이 예측 모델은 에이전트 기반 시뮬레이션에 통합되어, 실시간 수요 예측을 기반으로 차량 재배치 전략을 수립하는 데 사용된다. ML 모델은 과거의 모바일 통신 데이터를 학습하여 미래의 수요 패턴을 예측하고, 이를 통해 차량 재균형 전략의 효율성을 높인다.","본 논문에서 제안하는 IDRT 시스템의 주요 고객 세그먼트는 농촌 지역 주민, 특히 대중 교통 인프라가 부족하여 개인 차량에 의존하는 승객과 화물 운송 서비스가 필요한 사용자이다. 또한, 전자상거래 확산과 COVID-19 팬데믹으로 인해 소규모 화물 배송 수요가 증가함에 따라, 효율적인 라스트 마일 배송 서비스를 필요로 하는 고객도 중요한 대상이 된다.","본 논문에서 제안하는 IDRT 시스템은 다음과 같은 가치를 제공한다: (1) 농촌 지역에서의 이동 편의성 향상, (2) 승객 및 화물 운송 통합을 통한 효율성 증대, (3) 차량 운행 거리 감소 및 환경 오염 저감, (4) 승객 대기 시간 단축, (5) 수요 변화에 따른 유연한 서비스 제공. 이러한 가치는 농촌 지역 주민들의 삶의 질을 향상시키고, 지속 가능한 운송 시스템 구축에 기여한다.","본 논문에서는 구체적인 채널을 명시적으로 언급하지 않지만, 제안하는 IDRT 시스템은 모바일 앱, 웹 인터페이스, 또는 콜센터를 통해 사용자에게 제공될 수 있다. 또한, 지역 사회 홍보, 교육 프로그램, 그리고 파트너십을 통해 시스템의 인지도를 높이고 사용자 참여를 유도할 수 있다.","본 논문에서는 구체적인 고객 관계 관리 방식을 명시적으로 언급하지 않지만, IDRT 시스템은 사용자 피드백을 수집하고 분석하여 서비스 품질을 지속적으로 개선할 수 있다. 또한, 실시간 위치 추적, 맞춤형 서비스 제공, 그리고 자동화된 고객 지원을 통해 사용자 만족도를 높일 수 있다.","본 논문에서는 IDRT 시스템의 수익 흐름을 구체적으로 언급하지 않지만, 다음과 같은 수익 모델을 고려할 수 있다: (1) 정부 보조금 또는 기금, (2) 승객 운임, (3) 화물 운송 수수료, (4) 광고 수익, (5) 데이터 분석 및 컨설팅 서비스 제공. 또한, 시스템 운영 비용 절감을 통해 수익성을 높일 수 있다.","본 논문에서 제안하는 IDRT 시스템의 핵심 자원은 다음과 같다: (1) 전문 인력 (운전 기사, 물류 전문가, IT 개발자 등), (2) 데이터셋 (교통 흐름 데이터, 인구 통계 데이터, 수요 예측 데이터 등), (3) 컴퓨팅 인프라 (시뮬레이션 모델, 최적화 알고리즘, 클라우드 서버 등), (4) 차량 (승객 및 화물 운송 겸용 차량), (5) 파트너십 (기술 기업, 연구 기관, 정부 부처 등).","본 논문에서 제안하는 IDRT 시스템을 개발, 구현, 운영하기 위해 필요한 주요 활동은 다음과 같다: (1) 연구 개발 (수요 예측 모델 개발, 재균형 전략 개발, 시뮬레이션 모델 개발 등), (2) 데이터 처리 (교통 흐름 데이터 분석, 수요 예측, 노선 최적화 등), (3) 모델 학습 (머신러닝 모델 학습 및 개선), (4) 시스템 배포 (모바일 앱 개발, 웹 인터페이스 개발, 서버 구축 등), (5) 사용자 교육 (시스템 사용 방법 교육, 홍보 활동 등).","본 논문에서 기술 개발, 구현, 또는 적용을 위해 협력하는 주요 파트너 또는 이해관계자로 언급된 부분은 다음과 같다: (1) Industry partner, (2) Hochschule Hannover","본 논문에서 기술 개발, 구현, 운영과 관련하여 발생하는 주요 비용 항목이나 잠재적 비용 문제는 다음과 같다: (1) 인건비 (운전 기사, 물류 전문가, IT 개발자 등), (2) 인프라 비용 (서버 유지보수 비용, 통신 비용 등), (3) 차량 유지보수 비용, (4) 라이선스 비용 (소프트웨어 라이선스 등).","본 논문은 IDRT 시스템의 효율성을 평가하기 위해 총 운행 거리, 승객 대기 시간, 차량 활용률 등의 핵심 지표를 사용한다. 또한, 농촌 지역의 특성 (낮은 인구 밀도, 긴 이동 거리 등)을 고려하여 시스템을 설계하고 평가한다. 향후 연구에서는 환경적 요인 (교통 체증, 사고 등)과 경제적 요인 (화물 적재량, 운임 등)을 추가적으로 고려할 필요가 있다.",N,N,"본 연구는 특정 지역 (Sarstedt, Germany)의 데이터와 시뮬레이션 모델을 기반으로 수행되었으며, 결과는 해당 지역의 특성에 따라 달라질 수 있다. 따라서, 다른 지역에 적용하기 위해서는 데이터 및 모델을 적절히 조정해야 한다. 또한, 향후 연구에서는 다양한 재균형 전략을 비교하고, 경제적 타당성을 평가하며, 환경적 영향을 측정하는 것이 필요하다.",해당 항목 없음
해당 항목 없음,"본 논문은 클라우드 환경에서 애플리케이션 개발 시 신뢰성 문제를 해결하기 위해, 기존 클라우드 코어 서비스의 일부로 통합된 신뢰성 있는 통합 개발 환경(RIDEaaS)을 제안한다. 제안하는 서비스는 개발 환경을 개인 데스크톱으로부터 독립시키고, 클라우드 서비스 제공업체에서 직접 코드 개발 환경을 제공하며, 결함 허용 기술 통합을 통해 클라우드 시스템의 신뢰성을 향상시키는 것을 목표로 한다. 또한, 새로운 고가용성 코딩 모델을 제시하여 미래를 위한 로드맵을 제공하고, 주요 클라우드 제공업체를 위한 잠재적인 비즈니스 모델을 제시한다.",본 논문에서 AI의 특징은 명시적으로 언급되지 않았습니다.,"본 논문에서 제안하는 RIDEaaS는 프리랜서 개발자, 중소규모 클라우드 지향 기업, 대규모 클라우드 기반 기업을 주요 고객 세그먼트로 설정하고 있다.","RIDEaaS는 코딩 유연성, 실시간 협업 코딩, 빠른 애플리케이션 배포, 정보 공유, 시간 및 비용 생산성 향상, 개선된 프리랜싱 기회 등을 제공한다.","일반적인 클라우드 고객, 전문 지향 소셜 네트워크(링크드인, 엘란스 등), 클라우드 콘솔 플랫폼 등이 RIDEaaS의 채널로 활용될 수 있다.","본 논문에서는 RIDEaaS를 통해 클라우드 최종 사용자와 개발자 서비스를 제공하고, 클라우드 콘솔 플랫폼을 통해 고객과 관계를 형성하는 것을 제안한다.","RIDEaaS의 수익 흐름은 클라우드 최종 사용자와 개발자가 생성하는 수익, PM 및 개발자의 온라인 결제 기반 애플리케이션 개발, 프로젝트 개발 수를 기반으로 한 높은 수익 등으로 구성된다.","RIDEaaS의 핵심 자원은 개발자, 프로젝트 관리자, 클라우드 애플리케이션, 클라우드 인프라 등으로 구성된다.",RIDEaaS의 핵심 활동은 온라인 코드 개발 및 배포이다.,"RIDEaaS는 PM 온라인 도구 및 프레임워크(Jira, ASANA 등), 클라우드 제공업체(Amazon, Azure, Google 등), API 및 타사 라이브러리와의 파트너십을 활용한다.","RIDEaaS의 비용 구조는 개발 및 유지 관리 비용, 타사 서비스와의 통합 비용, 계약 합의, 전용 및 공유 클라우드 인프라 비용 등으로 구성된다.","본 논문에서는 클라우드 환경에서의 소프트웨어 개발 신뢰성 확보를 위해 고가용성 코딩(High Availability Coding, HAC)이라는 새로운 비즈니스 모델을 제시하고 있으며, 이는 개발자가 소프트웨어의 중요 구성 요소에 결함 허용 기술을 적용할 수 있도록 지원하여 소프트웨어 가용성을 높이는 데 기여한다.",N,Y,"본 논문에서는 RIDEaaS를 완전히 개발하고 최종 사용자로부터 보안과 관련된 더 높은 수준의 제어를 통해 다른 문제에 적용할 것을 제안하며, 인공지능은 코드 개발을 돕고 개발자를 위한 필수 선택을 내리는 데 도움을 주기 위해 코딩 아키텍처를 분석하는 데 기여할 수 있다고 언급한다.",해당 항목 없음
Research on Business Model Innovation of Online Education.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,"본 논문은 온라인 여행 서비스 산업의 비즈니스 모델 혁신에 대한 연구로, Ctrip을 사례 연구 대상으로 선정하여 비즈니스 모델 캔버스를 활용해 분석했습니다. 연구 결과, 차별화된 개발에 집중, 완벽한 서비스 시스템 구축, 기술 경쟁력 향상, 온라인 및 오프라인의 다차원 채널, 핵심 자원 강화를 통해 Ctrip의 비즈니스 모델 체인이 구축되었으며, 이는 중국 온라인 여행 서비스 시장의 건전한 발전에 기여한다고 결론지었습니다.","본 논문에서는 AI 기술 자체가 주요 연구 대상은 아니지만, 기술 경쟁력 향상 방안으로 인공지능 고객 서비스와 같은 인공지능 기술의 활용을 제시하고 있습니다. 이는 고객 커뮤니케이션 효율성을 향상시키고 노동 및 커뮤니케이션 비용을 절감하는 효과가 있다고 언급되어 있습니다.","Ctrip의 주요 고객 세그먼트는 높은 소득과 강력한 소비력을 가진 고급 비즈니스 멤버입니다. 또한, 휴가 여행객도 Ctrip의 주요 타겟 시장의 일부이며, 호텔, 항공사, 관광 명소 에이전트, 여행사 등도 Ctrip의 타겟 시장에 포함됩니다.","Ctrip의 가치 제안은 전문적인 관리를 통해 온라인 여행 슈퍼마켓을 구축하고 고객 경험을 향상시키는 것입니다. 고객은 자신의 필요에 따라 적합한 호텔과 항공권을 자유롭게 선택할 수 있으며, 여행 일정에 따라 차량, 현지 음식, 투어 가이드 등을 예약할 수 있습니다. 또한 여행 상품의 품질을 평가하고 개인적인 여행 경험을 공유할 수 있습니다.","Ctrip은 웹 포털(Ctrip.com), 가상 여행 커뮤니티(lvping.com) 및 기타 웹사이트를 통해 고객에게 서비스를 제공합니다. 또한, 전화, 팩스, 웹 페이지, 이메일, 문자 메시지, 온라인 인스턴트 메시징 등 다양한 서비스 연락 센터를 운영하며, Starway 호텔과 제휴하여 오프라인 채널을 확보하고 있습니다.","Ctrip은 사용자 경험 향상에 주력하며, 고객에게 충분한 자율성과 고도로 개인화된 서비스를 제공하여 사용자 만족도를 높입니다. Ctrip은 고객의 자율성을 침해하지 않고 여행의 모든 단계에서 가이드 역할을 수행합니다. Ctrip에 인수된 웹사이트와 Ctrip의 오프라인 서비스 파트너는 모두 자체 고객을 보유하고 있으며, Ctrip과 협력적인 관계를 유지하여 공동으로 발전하고 공통의 이익을 추구합니다.","Ctrip의 주요 수익은 호텔, 항공권, 기차표 및 기타 비즈니스 여행 및 휴가 상품의 대행 수수료에서 발생합니다. 또한, 온라인 광고 및 Ctrip VIP 멤버십을 통해서도 수익을 얻습니다.","Ctrip은 풍부한 인적 자원을 보유한 세계 최대 규모의 관광 서비스 연락 센터를 보유하고 있습니다. 또한, 전 세계 주요 항공사를 포함하고 전 세계 138개 국가 및 지역의 32,000개 이상의 호텔과 협력하여 풍부한 관광 자원을 보유하고 있습니다. 첨단 기술은 Ctrip의 혁신과 발전을 이끄는 또 다른 핵심 자원입니다.","Ctrip의 주요 활동에는 관광 상품, 관광 서비스 및 여행 정보 제공이 포함됩니다. Ctrip은 호텔 예약, 항공권 예약, 관광 서비스, 목적지 관광 관리(식사 주문, 렌터카, 티켓 등), 관광 정보 제공, lvping.com 및 기타 관광 정보 커뮤니티 웹사이트에서의 평가 및 경험 공유와 같은 다양한 여행 상품 및 서비스를 제공합니다.","Ctrip은 세계 주요 항공사와 제휴하고 있으며, 전 세계 138개 국가 및 지역의 32,000개 이상의 호텔 및 약 36개의 관광 사무소와 긴밀한 협력 관계를 유지하고 있습니다. 또한, 대량의 관광 사업을 보유한 보험 회사와 협력하여 고객에게 다양한 관광 관련 보험 상품을 제공합니다. 제품 결제와 관련하여 Ctrip은 WeChat 결제, 모든 종류의 은행 예금 카드, 신용 카드, 온라인 결제, Alipay 및 기타 회사와 협력하여 고객에게 다양한 결제 방법을 제공합니다.","Ctrip의 운영 비용은 마케팅 비용, 인적 자원 비용, 예약 서비스 센터 건설 비용 및 관광 자원 개발 비용의 네 가지 모듈로 나눌 수 있습니다. 마케팅 비용은 Ctrip이 고객과 파트너를 유치하고 개발하는 데 중요합니다. 인적 자원 비용은 회사의 인적 자원에 사용됩니다. 매년 Ctrip은 호텔과 같은 관광 상품 개발에 많은 돈을 지출하며, 대부분 일회성 투자이며 Ctrip 운영 비용의 대부분을 차지합니다. 예약 서비스 센터의 건설 비용에는 웹사이트, APP 및 기타 기술 건설에 대한 투자와 예약 서비스 센터 건물 건설 및 장비 비용이 포함됩니다.","본 논문에서는 전통적인 비즈니스 모델 캔버스 외에 온라인 여행 서비스 기업의 혁신 전략을 제시하며, 차별화된 개발에 집중, 완벽한 서비스 시스템 구축, 기술 경쟁력 향상, 온라인 및 오프라인의 다차원 채널, 핵심 자원 강화의 다섯 가지 방안을 제시합니다. 이는 경쟁이 치열한 온라인 여행 서비스 시장에서 기업이 경쟁력을 유지하고 시장 점유율을 확대하기 위한 구체적인 전략을 제시하는 것으로 평가할 수 있습니다.",N,Y,"본 논문은 Ctrip이라는 특정 기업의 사례 연구에 초점을 맞추고 있어, 연구 결과의 일반화 가능성에 한계가 있을 수 있습니다. 또한, 온라인 여행 서비스 시장의 경쟁 환경 변화와 새로운 기술의 등장에 따라 Ctrip의 비즈니스 모델이 어떻게 변화해야 하는지에 대한 추가적인 연구가 필요합니다.",해당 항목 없음
해당 항목 없음,"본 논문에서는 사회적 로봇의 참여 설계를 위한 프레임워크와 캔버스 도구를 소개합니다. 이 프레임워크는 다학제적 협업을 촉진하고, 로봇 설계 과정에 잠재적 사용자를 포함시키는 데 사용될 수 있으며, 두 가지 사회적 로봇 설계 사례 연구를 통해 제안된 캔버스의 유용성을 조사하고, 캔버스가 설계 프로세스에 명확성, 구조, 공유된 관점을 제공하고, 교육적이고 즐거운 경험을 제공한다는 것을 확인했습니다.","본 논문에서 다루는 AI의 특징은 다음과 같습니다:
1. 사회적 로봇 설계
2. 사용자 인터페이스 툴킷
3. 인간-로봇 상호작용","본 논문에서 제안하는 사회적 로봇의 디자인 프레임워크는 다음과 같은 그룹을 대상으로 합니다.

1. 10대 사용자
2. 공공 도서관 사용자
3. 로봇 공학자
4. 미디어 전문가
5. 사서","본 논문에서 제안하는 사회적 로봇 디자인 캔버스는 다음과 같은 가치를 제공합니다.

1. 설계 프로세스에 명확성과 구조를 제공합니다.
2. 설계자와 사용자가 관점을 공유하도록 장려합니다.
3. 교육적이고 즐거운 설계 경험을 제공합니다.","본 논문에서 제시된 사회적 로봇 디자인 캔버스는 실제로 디자인 워크샵에서 사용되었고, 캔버스 도구는 https://osf.io/jg2t8/ 에서 온라인으로 제공됩니다.","본 논문에서는 사회적 로봇과 사용자 간의 관계를 명확히 정의하고, 윤리적 고려 사항을 통해 사용자를 잠재적인 부정적인 영향으로부터 보호합니다. 사용자의 피드백을 수집하고 상호 작용을 통해 관계를 개선하며, 로봇의 행동을 사용자 정의에 맞게 조정합니다.","본 연구는 Futurice의 자금 지원을 받았으며, 포르투갈 과학 기술 재단의 AMIGOS 프로젝트 및 Osk. Huttunen Foundation과 EPSRC의 추가 보조금을 받았습니다. 또한, 핀란드 아카데미 전략 연구 위원회의 ROSE 프로젝트의 부분적인 재정 지원을 받았습니다.","본 논문에서 제시된 사회적 로봇 디자인 프레임워크의 핵심 자원은 다음과 같습니다.

1. 디자인 캔버스
2. 로봇 공학자
3. 미디어 전문가
4. 사서
5. 사용자","본 논문에서 제시된 사회적 로봇 디자인 프레임워크의 핵심 활동은 다음과 같습니다.

1. 문제 공간 정의
2. 윤리적 고려 사항 검토
3. 디자인 가이드라인 개발
4. 최소 실행 가능 제품(MVP) 프로토타입 제작
5. 환경 분석
6. 형태 디자인
7. 상호 작용 디자인
8. 행동 디자인","본 연구는 Futurice, 포르투갈 과학 기술 재단, Osk. Huttunen Foundation, EPSRC, 핀란드 아카데미 전략 연구 위원회와 같은 다양한 기관 및 조직과의 파트너십을 통해 수행되었습니다. 또한, Yle 및 헬싱키 중앙 도서관 Oodi와 협력하여 실제 로봇을 설계하고 구현했습니다.","논문에서 언급된 주요 비용 항목은 다음과 같습니다.

1. 인건비
2. 워크샵 운영 비용
3. 로봇 개발 및 구현 비용
4. 데이터 보안 관련 투자 비용","본 논문에서는 전통적인 비즈니스 모델 캔버스 외에 윤리적 고려 사항을 추가 영역으로 제시합니다. 이는 사회적 로봇이 사용자의 안전, 데이터 보안, 투명성, 평등, 감정적 고려, 행동 강화 등 다양한 윤리적 문제를 야기할 수 있기 때문입니다.",N,N,"본 논문에서는 사회적 로봇 설계를 위한 도구로서 디자인 캔버스의 유용성을 평가하고, 캔버스가 설계 프로세스에 구조, 명확성, 공유된 관점을 제공하고, 교육적이고 즐거운 경험을 제공한다는 것을 확인했습니다.",해당 항목 없음
Text Mining Enabled CEET@I Methodology for Business Model Analysis with the Case of Shared bicycle.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
The Augmentation of Interest in a Community Application for PetHub via Data-Informed Content Recommendations Tailored.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,"본 논문은 공유 경제의 배경 하에 베이징 Airbnb 온라인 단기 임대 데이터를 사용하여 AutoGluon 모델을 통해 가격 범위를 예측하고 모델의 해결 가능성을 분석합니다. 데이터 전처리 후 주택 유형, 위치, 주변 환경이 가격과 관련 있음을 발견하고, 기존 기능을 기반으로 AutoGluon 쾌락 가격 모델을 구축하여 가격 범위를 예측합니다. 지리적 위치와 객실 유형이 온라인 단기 임대 시장 가격에 가장 큰 영향을 미치며, 온라인 단기 임대 플랫폼과 주택 소유자가 합리적으로 주택 가격을 조정하고 서비스 품질을 개선할 수 있도록 참고 자료를 제공합니다.","AutoGluon 모델은 앙상블 및 다층 스태킹을 특징으로 하며, 데이터 전처리를 자동화하고 더미 변수로 간접적으로 변환할 필요가 없습니다. 이 모델은 여러 모델 조합에서 정확도를 향상시키는 새로운 유형의 다층 스태킹 통합을 도입했습니다. AutoGluon 모델은 견고성이 뛰어나고 앙상블 기법을 사용하여 예측 성능을 향상시킵니다.","온라인 단기 임대 플랫폼 사용자, 주택 소유자, 관광객","주택 가격의 합리적인 사용자 정의를 위한 참조 제공, 서비스 품질 개선, 가격 범위 예측을 통한 정보 비대칭성 해소","온라인 단기 임대 플랫폼 (예: Airbnb), 데이터셋 (Ali Tian chi)","플랫폼을 통한 자동화된 거래, 가격 예측 모델을 통한 가격 정보 제공","정부 지원금 (Shanghai Philosophy and Social Science Planning General Project), 온라인 단기 임대 플랫폼의 수수료, 주택 소유자의 임대 수익","베이징 Airbnb 온라인 단기 임대 데이터셋, AutoGluon 모델, 컴퓨팅 자원, 지리적 위치 및 주택 관련 데이터","데이터 수집 및 전처리, AutoGluon 모델 구축 및 학습, 모델 해석, 가격 범위 예측, 결과 분석 및 보고서 작성","Airbnb (데이터 제공), Ali Tian chi (데이터셋 제공), Shanghai Maritime University (연구 기관)","인건비, 컴퓨팅 인프라 비용, 데이터 수집 비용, 모델 유지보수 비용","본 논문에서는 전통적인 비즈니스 모델 캔버스 외에, 쾌락 가격 모델을 사용하여 온라인 단기 임대 시장의 가격 결정 요인을 분석하고 예측하는 데 중점을 둡니다. 또한 지리적 위치 및 주택 유형이 가격에 미치는 영향에 대한 해석 가능성을 강조합니다.",N,N,"연구의 한계점: 베이징 Airbnb 데이터에만 의존, 더 많은 데이터와 추가적인 특징이 있을 경우 모델 정확도 향상 가능, AutoGluon 모델의 파라미터 설정에 대한 추가 연구 필요",해당 항목 없음
해당 항목 없음,"이 논문은 스마트 제조 및 Industry 4.0 환경에서 지속 가능성 및 리스크 관리를 위한 서비스 지향적인 도메인 특화 언어(DSL) 플랫폼의 고수준 아키텍처 개발을 목표로 한다. 비즈니스 로직, 지식 수집, 분석의 세 가지 요소와 지속가능성 모델 캔버스(SBC)를 통해 DSL 플랫폼이 기업의 지속 가능한 사고와 행동을 지원하는 방법을 탐색한다.","논문에서 AI는 데이터 분석, 예측, 자동화된 의사 결정 지원 등의 기능을 수행하는 데 사용될 수 있다고 간략하게 언급되었으며, AI 및 머신러닝 기법이 기존 모델과 결합되어 자동 변환, 생성 및 분석을 제공할 수 있다고 설명합니다.","주로 중소기업(SME)을 대상으로 하며, 대기업도 포함될 수 있다. 특히 지속 가능성 고려 사항에 노출되어 분석 및 적용에 어려움을 겪는 기업이 주요 대상이다.","기업이 지속 가능한 개발 목표(SDGs) 및 위험 관리를 사업 계획 및 운영에 통합할 수 있도록 지원한다. DSL 플랫폼을 통해 기업은 지속 가능한 비즈니스 모델을 구축하고, 리스크를 효과적으로 관리하며, 순환 경제를 실현할 수 있다.",DSL 플랫폼을 통해 솔루션이 전달될 것으로 예상된다. 워크숍 구조를 대체하고 사용자에게 지침을 제공하는 데 사용될 수 있다.,"DSL 플랫폼은 기업에게 지속 가능한 계획 및 위험 관리에 대한 안내를 제공하고, 모범 사례 및 접근 방식을 제시함으로써 고객 관계를 구축한다. 또한, 사용자 피드백을 수집하여 지속적으로 플랫폼을 개선할 수 있다.","논문에서는 기술의 수익 창출 방식에 대한 구체적인 언급은 없지만, 연구는 Science Foundation Ireland의 지원을 받아 진행되었으며, 이는 연구 자금 조달의 한 형태임을 알 수 있다.","지식 관리 DSL 플랫폼, 스마트 제조 관련 데이터, 비즈니스 모델 캔버스(BMC), 지속 가능성 모델 캔버스(SBC), DIME(Graphical Integrated Modelling Environment), GOLD 프레임워크, AI/ML 기술, R과 같은 데이터 분석 언어, 전문 인력, 컴퓨팅 인프라 등이 핵심 자원이다.","DSL 플랫폼 아키텍처 개발, 지속가능성 및 리스크 관리 모델 개발, 데이터 수집 및 분석, 비즈니스 모델 캔버스 통합, DSL 플랫폼 구현 및 배포, 사용자 교육 등이 핵심 활동이다.","Confirm 스마트 제조 연구 센터, Science Foundation Ireland 등이 핵심 파트너이다.","DSL 플랫폼 개발 및 유지보수 비용, 데이터 수집 및 분석 비용, 인건비, 인프라 비용 등이 주요 비용 항목이다.",지속가능성 모델 캔버스(SBC)를 통해 지속가능성 목표를 사업 계획에 통합하는 것을 강조한다. 기존의 틀 외에 지속가능성이라는 가치를 비즈니스 모델에 통합하는 새로운 관점을 제시한다.,Y,"Y, 비즈니스 모델 캔버스를 확장하여 지속가능성 목표와 위험 관리를 통합하는 방안을 제시하고, 이를 통해 기업이 지속 가능한 비즈니스 모델을 구축할 수 있도록 돕는다. 지속가능성 모델 캔버스(SBC) 또한 제시되었다.",본 연구는 DSL 플랫폼이 기업의 지속가능성 및 리스크 관리를 지원하는 데 중요한 역할을 할 수 있음을 시사한다. 향후 연구에서는 DSL 플랫폼의 구체적인 구현 방안과 효과를 검증할 필요가 있다.,해당 항목 없음
